Id	DR	L	WP	W	SL	SW	P
HMAC604_10	3.73	NaN	NaN	NaN	3.89	4.23	2
HMAC605_01	3.37	13.38	6.72	8.95	3.13	3.49	1
HMAC605_02	4.12	13.86	7.4	10.28	6.1	4.26	1
HMAC605_03	3.24	12.68	6.06	9.69	NaN	NaN	1
HMAC605_04	3.95	13.51	6.16	11.24	NaN	NaN	2
HMAC605_05	3.68	12.83	6.93	10.13	NaN	NaN	2
HMAC605_06	3.6	12.62	5.29	10.16	NaN	NaN	2
HMAC605_07	3.43	13.02	7.49	10.55	4.45	2.98	2
HMAC605_08	3.52	12.1	5.1	10.45	NaN	NaN	2
HMAC605_09	4.09	12.73	5.43	10.45	NaN	NaN	2
HMAC605_10	3.37	11.81	5.1	10.55	NaN	NaN	2
HMAC606_01	3.5	9.5	5.15	8.53	NaN	NaN	1
HMAC606_02	3.41	9.84	5.2	8.57	3.01	3.07	1
HMAC606_03	2.83	10.3	5.67	8.65	3.37	2.69	2
HMAC606_04	3.06	10.5	5.26	9.91	3.07	2.81	1
HMAC606_05	3.26	10.06	6.18	8.5	2.99	2.38	1
HMAC606_06	3.25	9.44	5.91	7.92	3.25	3.39	1
HMAC606_07	2.98	11.17	6.5	9.04	NaN	NaN	1
HMAC606_08	3.06	9.93	6.04	9.18	NaN	NaN	1
HMAC606_09	3.1	9.93	5.38	8.71	NaN	NaN	1
HMAC606_10	3.2	7.88	4.73	8	2.85	3.29	1
HMAC607_01	4	10.46	6.85	8.79	2.64	2.52	1
HMAC607_02	4.3	13.06	5.24	10.2	2.16	2.75	1
HMAC607_03	3.79	11.48	5.15	9.41	1.47	2.78	2
HMAC607_04	4.19	10.32	6.47	9.92	1.77	2.49	2
HMAC607_05	3.96	10.02	5.75	8.57	NaN	NaN	1
HMAC607_06	4.28	11.58	5.79	10.24	1.9	2.64	2
HMAC607_07	3.7	10.77	3.58	10.09	3.07	2.57	2
HMAC607_08	3.46	12.31	5.25	9.83	2.33	2.09	1
HMAC607_09	4.46	10.89	4.14	11.13	NaN	NaN	2
HMAC607_10	3.61	10.53	4.62	9.17	1.69	2.32	2
HMAC608_01	3.1	8.88	4.86	8.42	2.65	2.84	1
HMAC608_02	2.9	9.27	4.69	9.02	2.65	3.66	1
HMAC608_03	3.03	8.01	5.59	7.28	3.3	3.74	1
HMAC608_04	2.35	9.39	4.38	9.01	NaN	NaN	1
HMAC608_05	2.43	8.69	5.46	8.01	NaN	NaN	1
HMAC608_06	2.68	8.02	5.78	6.25	2.87	3.4	1
HMAC608_07	2.35	9.67	5.32	7.97	NaN	NaN	1
HMAC608_08	2.74	7.76	4.35	7.89	2.94	3.99	1
HMAC608_09	2.7	8.31	5.54	6.97	3.39	3.08	1
HMAC609_01	3.43	9.91	6.02	8.68	2.28	3.64	1
HMAC609_02	3.32	11.78	5.65	10.07	3.57	3.18	1
HMAC609_03	3.23	9.97	3.37	8.37	2.7	3.67	1
HMAC609_04	3.06	9.62	4.8	8.54	4.15	4.19	1
HMAC609_05	3.46	10.23	5.65	8.98	3.22	3.26	1
HMAC609_06	2.99	10.15	5.4	10.16	2.35	3.09	2
HMAC609_07	3.08	10.48	6.3	9.88	2.45	3.71	1
HMAC609_08	3.02	10.96	5.22	10.39	3.23	2.99	2
